wave,station,at_w,boat
399.1,StationMAN-F14,1.685032535,saucier
403.2,StationMAN-F14,1.608915446,saucier
407.5,StationMAN-F14,1.524931264,saucier
411.7,StationMAN-F14,1.438106148,saucier
415.5,StationMAN-F14,1.363734553,saucier
420.3,StationMAN-F14,1.283027893,saucier
425.3,StationMAN-F14,1.205845564,saucier
429.9,StationMAN-F14,1.137363798,saucier
434.3,StationMAN-F14,1.071738056,saucier
438.9,StationMAN-F14,1.005771918,saucier
443.3,StationMAN-F14,0.945475359,saucier
448.6,StationMAN-F14,0.889162309,saucier
453.4,StationMAN-F14,0.837424826,saucier
458.2,StationMAN-F14,0.789917853,saucier
462.9,StationMAN-F14,0.747766653,saucier
467.6,StationMAN-F14,0.706286944,saucier
472.7,StationMAN-F14,0.667682216,saucier
478,StationMAN-F14,0.631344402,saucier
483.1,StationMAN-F14,0.599027488,saucier
488.1,StationMAN-F14,0.568991181,saucier
492.8,StationMAN-F14,0.541403047,saucier
497.7,StationMAN-F14,0.51394486,saucier
502.6,StationMAN-F14,0.489379715,saucier
507.8,StationMAN-F14,0.464068108,saucier
513.2,StationMAN-F14,0.439087497,saucier
518.5,StationMAN-F14,0.416800921,saucier
523.5,StationMAN-F14,0.396686126,saucier
528.9,StationMAN-F14,0.377290056,saucier
533.7,StationMAN-F14,0.358994529,saucier
538.5,StationMAN-F14,0.342209521,saucier
543.7,StationMAN-F14,0.325255475,saucier
548.5,StationMAN-F14,0.309375933,saucier
553.6,StationMAN-F14,0.294518858,saucier
558.7,StationMAN-F14,0.280636954,saucier
563.9,StationMAN-F14,0.267396769,saucier
569,StationMAN-F14,0.255526508,saucier
573.4,StationMAN-F14,0.245100165,saucier
578.1,StationMAN-F14,0.236436934,saucier
582.7,StationMAN-F14,0.227687035,saucier
587.1,StationMAN-F14,0.21937375,saucier
591.5,StationMAN-F14,0.210151934,saucier
596.1,StationMAN-F14,0.201874818,saucier
600.6,StationMAN-F14,0.194838066,saucier
604.8,StationMAN-F14,0.190013568,saucier
609,StationMAN-F14,0.184448308,saucier
613.7,StationMAN-F14,0.180947007,saucier
618.7,StationMAN-F14,0.175986004,saucier
623.4,StationMAN-F14,0.171504471,saucier
628,StationMAN-F14,0.166915304,saucier
632.7,StationMAN-F14,0.162157286,saucier
637.2,StationMAN-F14,0.157463947,saucier
641.8,StationMAN-F14,0.152967839,saucier
646.6,StationMAN-F14,0.150190039,saucier
651.2,StationMAN-F14,0.1502019,saucier
656,StationMAN-F14,0.154024826,saucier
660.6,StationMAN-F14,0.162081403,saucier
665,StationMAN-F14,0.171254523,saucier
669.6,StationMAN-F14,0.177210259,saucier
674,StationMAN-F14,0.17639083,saucier
678.3,StationMAN-F14,0.168261498,saucier
682.7,StationMAN-F14,0.154168228,saucier
686.6,StationMAN-F14,0.13730691,saucier
690.8,StationMAN-F14,0.121157662,saucier
694.7,StationMAN-F14,0.107491896,saucier
698.4,StationMAN-F14,0.097037974,saucier
702.3,StationMAN-F14,0.089302959,saucier
706,StationMAN-F14,0.083818213,saucier
709.7,StationMAN-F14,0.079278226,saucier
713.2,StationMAN-F14,0.074160937,saucier
716.8,StationMAN-F14,0.071830702,saucier
720.1,StationMAN-F14,0.067842885,saucier
723.7,StationMAN-F14,0.06428284,saucier
726.8,StationMAN-F14,0.061262172,saucier
730,StationMAN-F14,0.054561856,saucier
733.4,StationMAN-F14,0.050544141,saucier
736.7,StationMAN-F14,0.048515755,saucier
739.3,StationMAN-F14,0.048590816,saucier
742.4,StationMAN-F14,0.049907212,saucier
745,StationMAN-F14,0.0504722,saucier
